t,re78,age,educ,married,black,hispanic,nodegree,re74,u74,re75,u75
1,9.9300003,37,11,1,1,0,1,0,1,0,1
1,3.5959001,22,9,0,0,1,1,0,1,0,1
1,24.909401,30,12,0,1,0,0,0,1,0,1
1,7.5061002,27,11,0,1,0,1,0,1,0,1
1,.28979999,33,8,0,1,0,1,0,1,0,1
1,4.0565,22,9,0,1,0,1,0,1,0,1
1,0,23,12,0,1,0,0,0,1,0,1
1,8.4722004,32,11,0,1,0,1,0,1,0,1
1,2.164,22,16,0,1,0,0,0,1,0,1
1,12.4181,33,12,1,0,0,0,0,1,0,1
1,8.1738997,19,9,0,1,0,1,0,1,0,1
1,17.094601,21,13,0,1,0,0,0,1,0,1
1,0,18,8,0,1,0,1,0,1,0,1
1,18.739901,27,10,1,1,0,1,0,1,0,1
1,3.0239,17,7,0,1,0,1,0,1,0,1
1,3.2284999,19,10,0,1,0,1,0,1,0,1
1,14.5819,27,13,0,1,0,0,0,1,0,1
1,7.6933999,23,10,0,1,0,1,0,1,0,1
1,10.8043,40,12,0,1,0,0,0,1,0,1
1,10.7474,26,12,0,1,0,0,0,1,0,1
1,0,23,11,0,1,0,1,0,1,0,1
1,5.1494999,41,14,0,0,0,0,0,1,0,1
1,6.4088998,38,9,0,0,0,1,0,1,0,1
1,1.9914,24,11,0,1,0,1,0,1,0,1
1,11.1632,18,10,0,1,0,1,0,1,0,1
1,9.6429996,29,11,1,1,0,1,0,1,0,1
1,9.8970003,25,11,0,1,0,1,0,1,0,1
1,11.1429,27,10,0,0,1,1,0,1,0,1
1,16.218,17,10,0,1,0,1,0,1,0,1
1,.9957,24,11,0,1,0,1,0,1,0,1
1,0,17,10,0,1,0,1,0,1,0,1
1,6.5516,48,4,0,1,0,1,0,1,0,1
1,1.5743999,25,11,1,1,0,1,0,1,0,1
1,0,20,12,0,1,0,0,0,1,0,1
1,3.1918001,25,12,0,1,0,0,0,1,0,1
1,20.505899,42,14,0,1,0,0,0,1,0,1
1,6.1819,25,5,0,1,0,1,0,1,0,1
1,5.9116001,23,12,1,1,0,0,0,1,0,1
1,3.0941999,46,8,1,1,0,1,0,1,0,1
1,0,24,10,0,1,0,1,0,1,0,1
1,1.2546,21,12,0,1,0,0,0,1,0,1
1,13.1888,19,9,0,0,0,1,0,1,0,1
1,8.0614996,17,8,0,1,0,1,0,1,0,1
1,2.7880001,18,8,1,0,1,1,0,1,0,1
1,3.9725001,20,11,0,1,0,1,0,1,0,1
1,0,25,11,1,1,0,1,0,1,0,1
1,0,17,8,0,1,0,1,0,1,0,1
1,0,17,9,0,1,0,1,0,1,0,1
1,12.1874,25,5,0,1,0,1,0,1,0,1
1,4.8432002,23,12,0,1,0,0,0,1,0,1
1,0,28,8,0,1,0,1,0,1,0,1
1,8.0874996,31,11,1,1,0,1,0,1,0,1
1,0,18,11,0,1,0,1,0,1,0,1
1,2.349,25,12,0,1,0,0,0,1,0,1
1,.59079999,30,11,1,1,0,1,0,1,0,1
1,0,17,10,0,1,0,1,0,1,0,1
1,1.0675,37,9,0,1,0,1,0,1,0,1
1,7.2849998,41,4,1,1,0,1,0,1,0,1
1,13.1675,42,14,1,1,0,0,0,1,0,1
1,1.0484,22,11,0,0,0,1,0,1,0,1
1,0,17,8,0,1,0,1,0,1,0,1
1,1.9239,29,8,0,1,0,1,0,1,0,1
1,4.6662002,35,10,0,1,0,1,0,1,0,1
1,.54930001,27,11,0,1,0,1,0,1,0,1
1,.76289999,29,4,0,1,0,1,0,1,0,1
1,10.6943,28,9,0,1,0,1,0,1,0,1
1,0,27,11,0,1,0,1,0,1,0,1
1,0,23,7,0,0,0,1,0,1,0,1
1,8.5466995,45,5,1,1,0,1,0,1,0,1
1,7.4797001,29,13,0,1,0,0,0,1,0,1
1,0,27,9,0,1,0,1,0,1,0,1
1,.64719999,46,13,0,1,0,0,0,1,0,1
1,0,18,6,0,1,0,1,0,1,0,1
1,11.9658,25,12,0,1,0,0,0,1,0,1
1,9.5985003,28,15,0,1,0,0,0,1,0,1
1,18.7833,25,11,0,0,0,1,0,1,0,1
1,18.678101,22,12,0,1,0,0,0,1,0,1
1,0,21,9,0,1,0,1,0,1,0,1
1,23.0056,40,11,0,1,0,1,0,1,0,1
1,6.4566998,22,11,0,1,0,1,0,1,0,1
1,0,25,12,0,1,0,0,0,1,0,1
1,2.3211,18,12,0,1,0,0,0,1,0,1
1,4.9418001,38,12,0,0,0,0,0,1,0,1
1,0,27,13,0,1,0,0,0,1,0,1
1,0,27,8,0,1,0,1,0,1,0,1
1,0,38,11,0,1,0,1,0,1,0,1
1,3.8813,23,8,0,0,1,1,0,1,0,1
1,17.231001,26,11,0,1,0,1,0,1,0,1
1,8.0486002,21,12,0,0,0,0,0,1,0,1
1,0,25,8,0,1,0,1,0,1,0,1
1,14.5099,31,11,1,1,0,1,0,1,0,1
1,0,17,10,0,1,0,1,0,1,0,1
1,0,25,11,0,1,0,1,0,1,0,1
1,9.9837999,21,12,0,1,0,0,0,1,0,1
1,0,44,11,0,1,0,1,0,1,0,1
1,5.5875001,25,12,0,0,0,0,0,1,0,1
1,4.4828,18,9,0,1,0,1,0,1,0,1
1,2.4561999,42,12,0,1,0,0,0,1,0,1
1,0,25,10,0,1,0,1,0,1,0,1
1,26.8176,31,9,0,0,1,1,0,1,0,1
1,0,24,10,0,1,0,1,0,1,0,1
1,9.2658005,26,10,0,1,0,1,0,1,0,1
1,.48519999,25,11,0,1,0,1,0,1,0,1
1,4.8146,18,11,0,1,0,1,0,1,0,1
1,7.4580998,19,11,0,1,0,1,0,1,0,1
1,0,43,9,0,1,0,1,0,1,0,1
1,34.0993,27,13,0,1,0,0,0,1,0,1
1,1.9533,17,9,0,1,0,1,0,1,0,1
1,0,30,11,0,1,0,1,0,1,0,1
1,0,26,10,1,1,0,1,2.0280001,0,0,1
1,8.8816996,20,9,0,1,0,1,6.0840001,0,0,1
1,6.2107,17,9,0,0,1,1,.4452,0,.074299999,0
1,0,20,12,0,1,0,0,.98930001,0,.1652,0
1,.92989999,18,11,0,1,0,1,.85829997,0,.2146,0
1,0,27,12,1,1,0,0,3.6709001,0,.33399999,0
1,12.558,21,12,0,0,0,0,3.6709001,0,.33399999,0
1,22.1633,27,12,0,1,0,0,2.1434,0,.35789999,0
1,1.6526,20,12,0,1,0,0,0,1,.37760001,0
1,8.1246996,19,10,0,1,0,1,0,1,.38530001,0
1,.67129999,23,12,0,1,0,0,5.5063,0,.5011,0
1,17.815001,29,14,0,1,0,0,0,1,.67970002,0
1,9.7371998,18,10,0,1,0,1,0,1,.79890001,0
1,17.6852,19,9,0,1,0,1,0,1,.79890001,0
1,0,27,13,1,0,0,0,9.3816004,0,.85369998,0
1,4.3217001,18,11,0,0,0,1,3.6782,0,.91960001,0
1,1.7733999,27,9,1,1,0,1,0,1,.93440002,0
1,0,22,12,0,1,0,0,5.6058998,0,.93620002,0
1,11.2333,23,10,1,1,0,1,0,1,.9364,0
1,.55940002,23,12,0,0,1,0,9.3857002,0,1.1174001,0
1,1.0854,20,11,0,1,0,1,3.6375,0,1.2208,0
1,5.4452,17,9,0,1,0,1,1.7165,0,1.2534,0
1,60.307899,28,11,0,1,0,1,0,1,1.2841001,0
1,1.4604,26,11,1,1,0,1,0,1,1.3929,0
1,6.9432998,20,11,0,1,0,1,16.3186,0,1.485,0
1,4.0327001,24,11,1,1,0,1,.82440001,0,1.6661,0
1,10.3633,31,9,0,1,0,1,0,1,1.6986001,0
1,4.2322998,23,8,1,0,0,1,0,1,1.7132,0
1,11.1414,18,10,0,1,0,1,2.1434,0,1.7843,0
1,0,29,12,0,1,0,0,10.8819,0,1.8173,0
1,13.3859,26,11,0,0,0,1,0,1,2.2263,0
1,4.8495998,24,9,0,1,0,1,9.1547003,0,2.2887001,0
1,0,25,12,0,1,0,0,14.4268,0,2.4093001,0
1,1.6605,24,10,0,1,0,1,4.2504001,0,2.4219,0
1,0,46,8,0,1,0,1,3.1657,0,2.5947001,0
1,2.4844999,31,12,0,0,0,0,0,1,2.6112001,0
1,4.1465998,19,11,0,1,0,1,2.3050001,0,2.6152999,0
1,9.9707003,19,8,0,1,0,1,0,1,2.6571,0
1,0,27,11,0,1,0,1,2.2068999,0,2.6663001,0
1,26.372299,26,11,1,1,0,1,0,1,2.7546,0
1,5.6152,20,10,0,1,0,1,5.0057001,0,2.7774,0
1,3.1966,28,10,0,1,0,1,0,1,2.8364999,0
1,6.1676998,24,12,0,1,0,0,13.7658,0,2.8427999,0
1,7.5359001,19,8,0,1,0,1,2.6364,0,2.9373,0
1,8.4841995,23,12,0,1,0,0,6.2693,0,3.04,0
1,1.2944,42,9,1,1,0,1,0,1,3.0585001,0
1,0,25,13,0,1,0,0,12.3629,0,3.0906999,0
1,5.0103002,18,9,0,1,0,1,0,1,3.2874,0
1,9.3710003,21,12,0,1,0,0,6.4737,0,3.3324001,0
1,0,27,10,0,1,0,1,1.0010999,0,3.5501001,0
1,4.2796001,21,8,0,1,0,1,.98930001,0,3.6959,0
1,3.4626,22,9,0,1,0,1,2.1928999,0,3.8369999,0
1,7.3825002,31,4,0,1,0,1,8.5176001,0,4.0232,0
1,0,24,10,1,1,0,1,11.7032,0,4.0781999,0
1,0,29,10,0,1,0,1,0,1,4.3990002,0
1,10.9765,29,12,0,1,0,0,9.7483997,0,4.8789001,0
1,13.8296,19,10,0,0,0,1,0,1,5.3241,0
1,6.7884998,19,11,1,0,1,1,5.4245,0,5.4638,0
1,9.5585003,31,9,0,1,0,1,10.717,0,5.5177999,0
1,13.2283,22,10,1,1,0,1,1.4683,0,5.5886998,0
1,.74370003,21,9,0,1,0,1,6.4165001,0,5.7493,0
1,5.5228,17,10,0,1,0,1,1.2915,0,5.7939,0
1,1.4249001,26,12,1,1,0,0,8.4088001,0,5.7947998,0
1,1.3586,20,9,0,0,1,1,12.2608,0,5.875,0
1,0,19,10,0,1,0,1,4.1219001,0,6.0567999,0
1,.67290002,26,10,0,1,0,1,25.929701,0,6.789,0
