MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SalePrice
20,RL,14157,IR1,HLS,Corner,StoneBr,Norm,1Fam,1Story,9,5,2005,2006,Stone,200,TA,Ex,TA,Gd,GLQ,1249,Unf,0,673,1922,Y,1922,0,0,1922,1,0,2,0,3,1,Gd,8,Typ,1,Attchd,2005,Fin,3,676,TA,Y,178,51,0,0,0,0,7,2007,377426
20,RL,10237,Reg,Lvl,Inside,Gilbert,RRAn,1Fam,1Story,6,5,2005,2006,None,0,TA,Gd,TA,No,GLQ,28,Unf,0,1288,1316,Y,1316,0,0,1316,0,0,2,0,3,1,Gd,6,Typ,1,Attchd,2005,Fin,2,397,TA,Y,100,0,0,23,0,0,10,2006,169990
70,RL,21384,Reg,Lvl,Inside,BrkSide,Norm,1Fam,2Story,5,6,1923,2004,None,0,TA,TA,TA,Gd,GLQ,1309,Unf,0,15,1324,Y,1072,504,0,1576,2,0,1,1,3,1,Gd,6,Typ,1,Attchd,1923,RFn,2,528,TA,Y,0,312,0,0,0,0,5,2009,223500
60,RL,8963,IR1,Lvl,Inside,NWAmes,Norm,1Fam,2Story,8,9,1976,1996,BrkFace,289,Gd,TA,Gd,No,GLQ,575,ALQ,80,487,1142,Y,1175,1540,0,2715,0,1,3,1,4,1,Gd,11,Typ,2,BuiltIn,1994,Fin,2,831,TA,Y,0,204,0,0,0,0,7,2008,299800
20,RL,17400,Reg,Low,Inside,Mitchel,Norm,1Fam,1Story,5,5,1977,1977,None,0,TA,TA,TA,No,ALQ,936,Unf,0,190,1126,Y,1126,0,0,1126,1,0,2,0,3,1,TA,5,Typ,1,Attchd,1977,RFn,2,484,TA,P,295,41,0,0,0,0,5,2006,160000
20,RL,8475,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,4,7,1956,1956,None,0,TA,TA,TA,No,ALQ,228,Unf,0,724,952,Y,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1956,Unf,1,283,TA,Y,0,0,0,0,0,0,4,2008,135750
50,RL,12822,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,None,0,TA,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Attchd,2003,RFn,2,670,TA,Y,168,43,0,0,198,0,8,2009,239686
30,RM,6120,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1Story,5,7,1925,1950,None,0,TA,TA,TA,No,Rec,489,Unf,0,279,768,N,1015,0,0,1015,0,0,1,0,3,1,TA,6,Min1,0,Detchd,1925,Unf,1,450,TA,Y,0,0,112,0,120,0,7,2006,88000
20,RL,15602,IR1,Lvl,Inside,Crawfor,Norm,1Fam,1Story,7,8,1959,1997,None,0,TA,TA,TA,No,ALQ,1247,Unf,0,254,1501,Y,1801,0,0,1801,1,0,2,0,1,1,TA,6,Typ,2,Attchd,1959,Fin,2,484,TA,Y,0,54,0,0,161,0,3,2010,289000
60,RL,7415,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,6,5,2004,2004,None,0,TA,TA,TA,No,GLQ,759,Unf,0,80,839,Y,864,729,0,1593,1,0,2,1,3,1,TA,8,Typ,1,Attchd,2004,Fin,2,398,TA,Y,100,75,0,0,0,0,4,2008,193000
30,RM,8520,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,6,8,1928,2003,None,0,Gd,TA,TA,No,Unf,0,Unf,0,624,624,Y,720,0,0,720,0,0,1,0,2,1,TA,5,Typ,0,Detchd,2005,Unf,2,484,TA,Y,106,0,0,0,0,0,5,2010,105900
20,RL,10680,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,3,1951,1951,BrkFace,44,TA,TA,Fa,No,LwQ,756,Unf,0,1380,2136,N,2136,0,0,2136,0,0,2,0,4,1,TA,7,Mod,0,Detchd,1951,Unf,2,528,TA,Y,0,30,0,0,0,0,10,2006,137900
160,FV,2645,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,BrkFace,456,TA,Gd,TA,No,Unf,0,Unf,0,776,776,Y,764,677,0,1441,0,0,2,1,2,1,Gd,5,Typ,0,Detchd,1999,Unf,2,492,TA,Y,206,0,0,0,0,0,11,2007,174000
20,RL,10175,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,1964,BrkFace,272,TA,TA,TA,No,BLQ,490,Unf,0,935,1425,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Attchd,1964,RFn,2,576,TA,Y,0,0,0,407,0,0,7,2008,180500
85,RL,10625,Reg,Lvl,Inside,NWAmes,Norm,1Fam,SFoyer,7,6,1974,1974,BrkFace,81,TA,Gd,TA,Gd,GLQ,885,LwQ,168,0,1053,Y,1173,0,0,1173,1,0,2,0,3,1,Gd,6,Typ,2,Attchd,1974,RFn,2,528,TA,Y,0,120,0,0,0,0,1,2010,170000
20,RM,8546,Reg,Lvl,Corner,Edwards,Norm,1Fam,1Story,4,5,2003,2004,None,0,TA,Gd,TA,No,Unf,0,Unf,0,1121,1121,Y,1121,0,0,1121,0,0,2,0,2,1,TA,5,Typ,0,Attchd,2003,RFn,2,440,TA,Y,132,64,0,0,0,0,3,2010,140000
190,RL,9873,Reg,Lvl,Inside,BrkSide,RRAn,2fmCon,1Story,4,5,1970,1970,BrkFace,160,TA,TA,TA,Av,ALQ,789,Unf,0,171,960,N,960,0,0,960,1,0,1,0,3,1,TA,6,Typ,0,Detchd,1970,Unf,2,576,TA,Y,0,288,0,0,0,0,5,2006,129000
20,RL,14892,IR1,HLS,CulDSac,Gilbert,Norm,1Fam,1Story,9,5,2006,2007,Stone,160,TA,Ex,TA,Gd,GLQ,1320,Unf,0,426,1746,Y,1746,0,0,1746,1,0,2,0,3,1,Ex,7,Typ,2,Attchd,2006,Fin,3,758,TA,Y,201,39,0,0,0,0,10,2009,377500
